Issue key,Issue id,Summary,Fix versions,Fix versions,Fix versions,Status,Created,Updated,Priority,Resolution,Affects versions,Affects versions,Affects versions,Security Level,Labels,Labels,Labels,Labels,Issue Type
NAS-137335,125321,adapt UI to make use of VM image conversion API,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,27/Aug/25 2:21 PM,05/Sep/25 9:06 AM,High,Complete,,,,iX Private,doc_impact,IX_EMPLOYEE,new_UI_feature,tests_impact,New Feature
NAS-137440,125590,better error message in vm.device.convert,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,04/Sep/25 2:14 PM,05/Sep/25 7:38 AM,Medium,Complete,SCALE-26.04-ALPHA.1 (Halfmoon),,,iX Private,IX_EMPLOYEE,,,,Defect
NAS-137300,125249,test_catalog_roles.test_apps_roles failing API tests,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,26/Aug/25 7:45 AM,05/Sep/25 7:20 AM,Medium,Complete,,,,iX Private,IX_EMPLOYEE,,,,Defect
NAS-137442,125597,Fix duplicate audit.query API calls on page load,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,04/Sep/25 4:56 PM,05/Sep/25 7:12 AM,Medium,Complete,SCALE-26.04-ALPHA.1 (Halfmoon),,,iX Private,IX_EMPLOYEE,,,,Defect
NAS-137334,125320,add ability to convert vm images to/from zvols.,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,27/Aug/25 2:15 PM,04/Sep/25 4:12 PM,High,Complete,,,,iX Private,IX_EMPLOYEE,,,,New Feature
NAS-137054,124726,Secure Boot doesn't work in 25.04.2 without changing OVMF bootloader + VARS,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,07/Aug/25 3:03 AM,04/Sep/25 4:00 PM,Low,Complete,SCALE-25.04.2 (Fangtooth),,,,COMMUNITY_USER,ready_for_assignment,ready_for_review,,Bug
NAS-137213,125036,"Unable to allocate VRAM, leads to qxl messages in Ubuntu",SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,18/Aug/25 11:54 AM,04/Sep/25 3:59 PM,Medium,Complete,SCALE-25.04.2.1 (Fangtooth),,,,COMMUNITY_USER,ready_for_review,,,Bug
NAS-136937,124497,Libvirt gets started even without having a VM created,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,31/Jul/25 2:07 PM,04/Sep/25 3:55 PM,High,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-137113,124833,Fix start/end in temperature aggregation,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,12/Aug/25 6:36 AM,04/Sep/25 3:51 PM,Medium,Complete,SCALE-26.04-ALPHA.1 (Halfmoon),,,iX Private,IX_EMPLOYEE,,,,Defect
NAS-137250,125121,Remove libvirt configuration files from mtree,SCALE-25.10-RC.1 (Goldeye),SCALE-26.04-ALPHA.1 (Halfmoon),,Done,21/Aug/25 7:56 AM,04/Sep/25 3:43 PM,Medium,Complete,SCALE-26.04-ALPHA.1 (Halfmoon),,,iX Private,IX_EMPLOYEE,,,,Defect
