Issue key,Issue id,Summary,Fix versions,Fix versions,Fix versions,Fix versions,Status,Created,Updated,Priority,Resolution,Affects versions,Affects versions,Affects versions,Security Level,Labels,Labels,Labels,Labels,Issue Type
NAS-134667,118260,Received error at the bottom of the System Update screen.,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,09/Mar/25 10:52 AM,17/Mar/25 8:35 AM,High,Complete,Master - TrueNAS Nightlies,,,,IX_EMPLOYEE,ready_for_review,,,Bug
NAS-134677,118280,Implement access card on user details view,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,10/Mar/25 5:14 AM,17/Mar/25 5:46 PM,Low,Complete,,,,,IX_EMPLOYEE,,,,New Feature
NAS-134709,118370,Rename AppLoaderService and withErrorHandler,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,11/Mar/25 3:17 PM,12/Mar/25 6:07 AM,Low,Complete,,,,,IX_EMPLOYEE,technical-improvement,,,Improvement
NAS-134717,118390,"Incus VMs use UTC time instead of local, breaking Windows VMs",SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,12/Mar/25 1:22 AM,05/Jun/25 1:02 PM,Low,Complete,SCALE-25.04-BETA.1 (Fangtooth),SCALE-25.04-RC.1 (Fangtooth),,,COMMUNITY_USER,,,,Improvement
NAS-134718,118391,"Reword string ""Update completed successfully. The system will reboot shortly""",SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,12/Mar/25 4:43 AM,17/Mar/25 8:34 AM,Low,Complete,Master - TrueNAS Nightlies,,,,IX_EMPLOYEE,,,,Bug
NAS-134734,118439,Improve help text for Manage Container Images delete Force option,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,12/Mar/25 2:41 PM,19/Mar/25 8:52 AM,Low,Complete,SCALE-25.04-RC.1 (Fangtooth),,,,help-wanted-ui,IX_EMPLOYEE,ready_for_review,,Improvement
NAS-134748,118473,Properly handle `notify_unsubscribed`,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,13/Mar/25 6:05 AM,24/Mar/25 7:21 AM,Low,Complete,,,,,IX_EMPLOYEE,technical-improvement,,,Improvement
NAS-134751,118478,Allow stats updates for multiple instances at the same time,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,13/Mar/25 7:48 AM,18/Aug/25 3:59 PM,Low,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-134782,118542,More strict null fixes,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,14/Mar/25 9:22 AM,18/Mar/25 8:07 AM,Low,Complete,,,,,IX_EMPLOYEE,technical-improvement,,,Improvement
NAS-134790,118559,Replace zfs.snapshot.* calls with pool.snapshot.* equivalents,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,14/Mar/25 11:33 AM,25/Mar/25 1:08 PM,Low,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-134791,118561,Add a CDROM device type to VM Instances,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,14/Mar/25 12:24 PM,13/Jun/25 1:20 PM,Medium,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-134797,118574,convert ssh.py to new API,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,14/Mar/25 1:30 PM,20/Mar/25 10:36 AM,Medium,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-134855,118743,Simplify contribution docs,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,17/Mar/25 12:02 PM,18/Mar/25 10:32 AM,Low,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-134857,118746,Pool usage stats are available in realtime reporting changes for UI consumption,SCALE-25.10-ALPHA.1 (Goldeye),SCALE-25.10-BETA.1 (Goldeye),,,Done,17/Mar/25 12:39 PM,26/Mar/25 4:58 AM,Low,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-134869,118784,Enable rxjs/throw-error rule,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,18/Mar/25 9:12 AM,19/Mar/25 5:31 AM,Low,Complete,,,,,IX_EMPLOYEE,technical-improvement,,,Improvement
NAS-134870,118787,Add Sentry environment variables to build process,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,18/Mar/25 9:46 AM,28/Apr/25 7:58 AM,Low,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-134871,118788,Fix some Sentry issues,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,18/Mar/25 9:53 AM,20/Mar/25 6:11 AM,Low,Complete,,,,,IX_EMPLOYEE,technical-improvement,,,Improvement
NAS-134897,118860,Convert interface.* endpoints to versioned API,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,19/Mar/25 12:22 PM,16/Apr/25 11:32 AM,Medium,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-134900,118870,Enable Direct IO in truenas/zfs,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,19/Mar/25 3:03 PM,20/May/25 10:32 AM,Medium,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-134904,118878,FreeIPA/LDAP integration doesn't work with IPv6-only FreeIPA server,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,19/Mar/25 5:04 PM,26/Jun/25 7:48 AM,Low,Complete,SCALE-24.10.2 (ElectricEel),,,,COMMUNITY_USER,ready_for_review,,,Bug
NAS-134911,118893,Sentry in WebUI,SCALE-25.10-BETA.1 (Goldeye),,,,Done,20/Mar/25 6:11 AM,17/Jul/25 8:16 AM,Medium,Complete,,,,,es-2510,IX_EMPLOYEE,july-2510,,Epic
NAS-134913,118895,zvol_path can be removed from virt.instance.create,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,20/Mar/25 6:23 AM,18/Aug/25 1:40 PM,Low,Complete,,,,,doc_impact,IX_EMPLOYEE,,,Improvement
NAS-134914,118896,Simplify selection of bootable disk,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,20/Mar/25 6:31 AM,14/Apr/25 8:06 AM,Low,Complete,,,,,doc_impact,doc_resolved,IX_EMPLOYEE,,Improvement
NAS-134926,118908,unable to isolate GPU (RTX 3060 TI) - not showing up,SCALE-25.10-BETA.1 (Goldeye),,,,Done,20/Mar/25 7:05 AM,30/Jul/25 6:41 AM,Medium,Complete,SCALE-25.04-RC.1 (Fangtooth),,,,COMMUNITY_USER,ready_for_review,,,Bug
NAS-134929,118911,load drivetemp kernel module at boot,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,20/Mar/25 7:10 AM,20/Mar/25 8:42 AM,Medium,Complete,SCALE-25.04.0 (Fangtooth),,,,IX_EMPLOYEE,,,,Improvement
NAS-134943,118978,Improvements to NIC form,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,21/Mar/25 7:43 AM,31/Mar/25 7:02 AM,Low,Complete,,,,,IX_EMPLOYEE,,,,Improvement
NAS-134945,118980,Relax component naming requirements,SCALE-25.10-ALPHA.1 (Goldeye),,,,Done,21/Mar/25 7:50 AM,24/Mar/25 9:54 AM,Low,Complete,,,,,IX_EMPLOYEE,technical-improvement,,,Improvement
