Issue Type,Issue key,Issue id,Summary,Fix versions,Fix versions,Status,Created,Updated,Priority,Resolution,Affects versions,Affects versions,Security Level,Labels,Labels,Labels,Labels,Labels
Bug,NAS-139580,139309,tn_connect.ips_with_hostnames API call returning empty,26.0.0-BETA.1,,Done,02/Feb/26 9:15 AM,02/Feb/26 11:16 AM,Medium,Complete,,,,IX_EMPLOYEE,,,,
Bug,NAS-139489,138237,"Bad disk serial causes ""We are working in the background to generate relevant data""",26.0.0-BETA.1,,Done,27/Jan/26 2:30 AM,02/Feb/26 5:08 AM,Low,Complete,SCALE-25.10.1 (Goldeye),,,COMMUNITY_USER,ready_for_assignment,,,
Bug,NAS-137681,126144,Debian package generation creating unsatisfiable deps due to pip resolver version mismatch,26.0.0-BETA.1,27.0.0-BETA.1,Done,24/Sep/25 1:45 AM,01/Feb/26 7:36 AM,Medium,Complete,,,,IX_EMPLOYEE,ready_for_assignment,,,
Improvement,NAS-139303,136538,Add graceful shutdown of docker when TN is being shutdown,26.0.0-BETA.1,,Done,13/Jan/26 6:13 PM,01/Feb/26 5:06 AM,Undefined,Complete,,,,IX_EMPLOYEE,,,,
Improvement,NAS-139345,136890,Reduce alerts regarding app updates,26.0.0-BETA.1,,Done,16/Jan/26 8:48 AM,01/Feb/26 5:06 AM,Undefined,Complete,,,,IX_EMPLOYEE,ready_for_review,,,
Bug,NAS-139559,139075,TimeMachine SMB Shares being indexed unnecessarily,26.0.0-BETA.1,,Done,31/Jan/26 11:05 AM,31/Jan/26 4:31 PM,Medium,Complete,Master - TrueNAS Nightlies,,,IX_EMPLOYEE,,,,
Bug,NAS-139397,137328,cannot update an ISCSI auth method with `Mutual CHAP` set,26.0.0-BETA.1,,Done,20/Jan/26 3:14 PM,23/Jan/26 4:04 PM,Low,Complete,26.0.0-BETA.1,,,IX_EMPLOYEE,,,,
Bug,NAS-139166,135722,Update modal dialog obscures failed secret download,26.0.0-BETA.1,,Done,04/Jan/26 11:55 AM,22/Jan/26 11:01 AM,Medium,Complete,SCALE-25.10.1 (Goldeye),,,COMMUNITY_USER,ready_for_assignment,,,
Bug,NAS-139342,136855,Tooltips/poppers are broken after v21 Angular update,26.0.0-BETA.1,,Done,16/Jan/26 4:43 AM,20/Jan/26 1:45 PM,Medium,Complete,26.0.0-BETA.1,,,IX_EMPLOYEE,,,,
Bug,NAS-139293,136424,"When I export the pool that has no system dataset, it says ""System dataset will be moved off this pool""",26.0.0-BETA.1,,Done,13/Jan/26 3:57 AM,19/Jan/26 10:07 AM,Medium,Complete,Master - TrueNAS Nightlies,,,IX_EMPLOYEE,,,,
Improvement,NAS-133952,116340,"After editing ZFS snapshot task, old snapshots lose retention attribute and timestamp",26.0.0-BETA.1,,Done,02/Feb/25 7:14 PM,16/Jan/26 3:54 AM,Medium,Complete,SCALE-24.10.2 (ElectricEel),,,2604alpha2beta,COMMUNITY_USER,es-2510,july-2510,ready_for_assignment
Bug,NAS-139053,135003,Boot environments dialogue- keep/unkeep flag switched,26.0.0-BETA.1,,Done,22/Dec/25 8:49 AM,15/Jan/26 5:51 AM,Low,Complete,SCALE-25.10.1 (Goldeye),,,2604alpha2beta,COMMUNITY_USER,ready_for_assignment,,
